no_spm;sum(jumlah_debet)
00001/BPS/SPM-GUP/APR/2017;30686872
00001/BPS/SPM-LSK/OKT/2017;181043000
00001/BPS/SPM-LSNK/AGU/2017;39550000
00001/BPS/SPM-TUP/JUL/2017;200000000
00001/BPS/SPM-UP/FEB/2017;200000000
00001/FEB/SPM-LS PGW/MAR/2017;74777998
00001/FEB/SPM-LSK/AGU/2017;155855255
00001/FEB/SPM-LSNK/AGU/2017;408000000
00001/FEB/SPM-TUP-NIHIL/AGU/2017;480026350
00001/FEB/SPM-TUP/JUL/2017;480026350
00001/FEB/SPM-UP/JAN/2017;350000000
00001/FHU/SPM-LS PGW/MAR/2017;4272000
00001/FHU/SPM-UP/JAN/2017;250000000
00001/FIB/SPM-LS PGW/FEB/2017;10898640
00001/FIB/SPM-LSK/SEP/2017;23100000
00001/FIB/SPM-LSNK/OKT/2017;13716150
00001/FIB/SPM-UP/JAN/2017;250000000
00001/FIS/SPM-GUP/FEB/2017;133851064
00001/FIS/SPM-LS PGW/FEB/2017;42258048
00001/FIS/SPM-LSK/AGU/2017;56988900
00001/FIS/SPM-LSNK/OKT/2017;17500000
00001/FIS/SPM-TUP-NIHIL/DES/2017;2900000000
00001/FIS/SPM-TUP/NOV/2017;2900000000
00001/FIS/SPM-UP/JAN/2017;150000000
00001/FKE/SPM-EM/DES/2017;166592260
00001/FKE/SPM-GUP/FEB/2017;163060400
00001/FKE/SPM-LS PGW/MAR/2017;136871202
00001/FKE/SPM-LSK/AGU/2017;89331000
00001/FKE/SPM-TUP-NIHIL/JUN/2017;1850635643
00001/FKE/SPM-TUP/MEI/2017;1850635643
00001/FKE/SPM-UP/JAN/2017;300000000
00001/FKM/SPM-LS PGW/MAR/2017;2136000
00001/FKM/SPM-LSK/AGU/2017;51450000
00001/FKM/SPM-LSNK/OKT/2017;10050000
00001/FKM/SPM-TUP/DES/2017;1156563370
00001/FKM/SPM-UP/JAN/2017;200000000
00001/FPK/SPM-LS PGW/FEB/2017;35999263
00001/FPK/SPM-LSK/AGU/2017;91718000
00001/FPK/SPM-LSNK/SEP/2017;20000000
00001/FPK/SPM-TUP-NIHIL/SEP/2017;211094500
00001/FPK/SPM-TUP/SEP/2017;211094500
